Bb-S-K,Bb-t-K,Bl-S-K,Bl-t-K,W-S-K,W-t-K
"[20.844827586206897, 66.53448275862073]","[221.30158730158735, 80.73015873015873]","[58.761904761904766, 12.404761904761905]","[52.13725490196083, 235.25490196078437]","[22.7450980392157, 59.82352941176471]","[73.50943396226407, 237.01886792452834]"
"[67.7872340425532, 59.40425531914892]","[144.56, 242.60000000000002]","[60.84482758620691, 64.08620689655172]","[147.74576271186442, 170.10169491525426]","[43.79545454545455, 13.86363636363637]","[248.4615384615384, 55.12820512820518]"
"[15.369230769230768, 15.861538461538476]","[89.323076923077, 64.89230769230768]","[53.15384615384615, 38.30769230769231]","[73.09433962264156, 62.15094339622648]","[63.56000000000002, 59.56]","[49.9807692307692, 74.44230769230774]"
"[35.76470588235294, 42.85294117647059]","[244.23529411764713, 215.5686274509804]","[20.22535211267608, 18.38028169014084]","[246.31034482758625, 234.6034482758621]","[14.32653061224492, 25.510204081632665]","[166.65853658536588, 113.39024390243904]"
"[57.07692307692308, 16.730769230769244]","[47.52830188679252, 205.37735849056605]","[17.576271186440696, 58.91525423728813]","[232.7540983606558, 75.47540983606561]","[67.44736842105264, 24.842105263157904]","[243.99999999999994, 220.08510638297878]"
